grant_id,ai_scope,primary,secondary,confidence,basis
fli/2015-grant-program/0,true,field,,high,AI forecasting and timelines research
fli/2015-grant-program/1,true,7.1,,high,aligning superintelligence with human interests
fli/2015-grant-program/10,true,7.1,,high,keeping advanced machines robustly benevolent
fli/2015-grant-program/11,true,7.4,,high,explanations for complex autonomous AI systems
fli/2015-grant-program/12,true,7.1,,medium,building moral judgement into robust AI
fli/2015-grant-program/13,true,7.1,,high,inferring human values and preferences
fli/2015-grant-program/14,true,7.1,,medium,self-policing agents enforcing ethical values
fli/2015-grant-program/15,true,7.6,,medium,mechanism design for many interacting AIs
fli/2015-grant-program/16,true,6.2,,high,economics of transition to automated economy
fli/2015-grant-program/17,true,7.3,,high,failure detection and robustness for deployment
fli/2015-grant-program/18,true,6.5,,high,regulation and policy for autonomous agents
fli/2015-grant-program/19,true,7.3,7.4,high,anomaly detection and explanation for robustness
fli/2015-grant-program/2,true,7.1,,high,formal verification of self-improving agents
fli/2015-grant-program/20,true,7.3,,high,robust inference for autonomous agents
fli/2015-grant-program/21,true,field,,medium,forecasting acceleration after general AI
fli/2015-grant-program/22,true,2.2,,high,security evaluation of machine learning systems
fli/2015-grant-program/23,true,field,,high,rationality training for AI researchers
fli/2015-grant-program/24,true,7.1,,high,stability of neuromorphic motivational systems
fli/2015-grant-program/25,true,field,,medium,strategic research centre on AI
fli/2015-grant-program/26,true,field,,medium,rationality and cognition summer programme
fli/2015-grant-program/27,true,7.1,,high,teaching AI human values via concepts
fli/2015-grant-program/28,true,6.5,,medium,code of ethics for AI research
fli/2015-grant-program/29,true,7.3,,high,uncertainty-aware safer inductive learning
fli/2015-grant-program/3,true,6.2,,medium,AI and the future of work
fli/2015-grant-program/30,true,7.6,7.3,medium,AI threats and cascading failures in finance
fli/2015-grant-program/31,true,7.3,,high,predicting when deep networks fail
fli/2015-grant-program/32,true,7.1,,high,value alignment and moral metareasoning
fli/2015-grant-program/33,true,7.1,,medium,verifying mathematical safety properties of AI
fli/2015-grant-program/4,true,7.1,,medium,embedding ethics into planning algorithms
fli/2015-grant-program/5,true,field,,medium,coordinating research on controllable autonomous machines
fli/2015-grant-program/6,true,7.1,,high,meaningful human oversight of goal-directed systems
fli/2015-grant-program/7,true,field,,high,prioritisation research for AI safety
fli/2015-grant-program/8,true,7.3,,low,program synthesis for valid intended behaviour
fli/2015-grant-program/9,true,7.1,,medium,modelling safe superintelligence development pathways
fli/2018-grant-program/0,true,7.1,7.6,medium,moral feedback for safe robot teamwork
fli/2018-grant-program/1,true,7.1,,high,factored cognition for scalable AGI oversight
fli/2018-grant-program/2,true,6.5,,high,governance of AI programme
fli/2018-grant-program/3,true,6.4,,high,safety agreement compliance in AI race
fli/2018-grant-program/4,true,field,,medium,survey of AGI paradigms and risks
fli/2018-grant-program/5,true,7.6,,medium,cooperation between AI agents
fli/2018-grant-program/6,true,7.3,7.1,medium,safe learning and verification of human-AI systems
fli/2018-grant-program/7,true,7.1,,high,control problem for universal AI
fli/2018-grant-program/8,true,7.1,,high,utility functions for AGI theory
fli/2018-grant-program/9,true,7.1,7.6,high,value alignment via multi-agent inverse RL
fli/2021-grants/0,true,3.2,,medium,news platform countering filter bubbles
fli/2021-grants/1,true,6.5,,high,aligning AI through better governance
fli/2021-grants/2,false,,,,biodiversity conservation not AI
fli/2022-grants/0,false,,,,broad tech futurism no AI
fli/2022-grants/1,true,6.5,,high,AI policy hub research and fellowships
fli/2022-grants/2,true,field,,medium,existential risk centre spanning several risks
fli/2022-grants/3,true,field,4.2,medium,entertainment storylines on irresponsible AI uses
fli/2022-grants/4,false,,,,biodiversity conservation not AI
fli/2023-grants/0,true,field,,high,AI strategy and forecasting research
fli/2023-grants/1,true,field,,medium,sociotechnical AI dynamics and collective deliberation
fli/2023-grants/10,true,7.1,,medium,delegating high-quality reasoning to ML systems
fli/2023-grants/11,true,6.4,,high,US-China competition risks from AI
fli/2023-grants/12,true,7.1,,high,theoretical and applied alignment research
fli/2023-grants/13,true,6.5,,high,aligning AI through better governance
fli/2023-grants/14,true,field,,medium,existential risk field building at university
fli/2023-grants/15,true,6.5,,high,AI policy hub research and fellowships
fli/2023-grants/2,true,7.2,,high,dangerous capability evaluations for frontier models
fli/2023-grants/3,true,7.1,,medium,support for CHAI alignment research collaboration
fli/2023-grants/4,true,field,,high,general support for AI safety centre
fli/2023-grants/5,true,field,,medium,AI policy work and xrisk messaging
fli/2023-grants/6,true,6.5,,high,think tank improving governance of extreme risks
fli/2023-grants/7,true,6.5,,high,alignment assemblies for legitimate AI governance
fli/2023-grants/8,true,field,,high,neglected AI safety research agendas
fli/2023-grants/9,false,,,,broad tech futurism no AI
fli/2024-grants/0,true,6.5,,medium,youth mobilising policymakers on AI
fli/2024-grants/1,true,4.2,6.5,medium,AI nexus with nuclear bio cyber autonomy
fli/2024-grants/2,true,field,,high,association for safe and ethical AI
fli/2024-grants/3,true,field,,high,journalism on current and future AI harms
fli/2024-grants/4,false,,,,general leadership project no AI
fli/2024-grants/5,true,6.2,,high,economics of transformative AI
fli/2025-grants/0,true,field,6.1,medium,investigative journalism on systemic AI threats
fli/2025-grants/1,true,field,,medium,AI risk management and alignment research
fli/2025-grants/2,true,field,,high,faith community engagement on AI
fli/2025-grants/3,false,,,,broad tech futurism no AI
fli/2025-grants/4,true,field,,medium,guiding AI to protect family interests
fli/2025-grants/5,true,field,,high,association for safe and ethical AI
fli/2025-grants/6,true,field,,high,fellowship building European AI policy talent
fli/global-institutions-governing-ai/0,true,6.5,,high,global AGI agency institutional design
fli/global-institutions-governing-ai/1,true,6.5,,high,fair trade certification mechanism for AI
fli/global-institutions-governing-ai/2,true,6.5,,high,international AI agency and CERN for AI
fli/global-institutions-governing-ai/3,true,6.5,7.1,high,treaty prohibiting misaligned AGI
fli/global-institutions-governing-ai/4,true,6.5,,high,UN treaty-based international AI governance organisation
fli/global-institutions-governing-ai/5,true,6.5,,high,multilateral network of public AI laboratories
fli/impact-of-ai-on-sdgs/0,true,field,,low,AI impact on climate education SDG
fli/impact-of-ai-on-sdgs/1,true,field,,low,AI applications for climate resilience SDG
fli/impact-of-ai-on-sdgs/2,true,6.2,,medium,AI impact on poverty alleviation SDG
fli/impact-of-ai-on-sdgs/3,true,field,,low,AI role in heat mitigation SDG
fli/impact-of-ai-on-sdgs/4,true,6.2,,medium,AI impact on poverty in low-resource contexts
fli/impact-of-ai-on-sdgs/5,true,field,,low,AI impact on health outcomes Nigeria
fli/impact-of-ai-on-sdgs/6,true,field,,low,AI impact on maternal mortality SDG
fli/impact-of-ai-on-sdgs/7,true,6.2,,high,AI labour market impact and inequality
