grant_id,method,confidence,basis
001f91b1-5857-36cf-776c-4eb9969ad101,X.talent-community,high,AI policy fellowship programme
0132ab23-dee5-62fb-d976-8567f221f8ff,3.1,high,benchmark for unsafe commercial agent autonomy
01393bd6-e8ce-ef97-4ae4-d36f1f765e25,X.advocacy-comms,high,PauseAI campaign conference travel
01675740-26b8-2fd0-9d3e-e20ff6d8c874,X.forecasting,medium,analysis of China AI trajectory
0189ee9f-0564-aab3-d3c6-7786d7fad680,X.research-interp,high,steering vectors probing implicit planning in LLMs
02c0ff18-78c5-b5f0-470a-af594378ab58,X.research-empirical,low,regrants across underexplored technical safety areas
040e02bf-160e-00ae-40cd-b4bce9d93416,2.3,medium,runtime constitutional constraint enforcement layer
046e4d57-861d-c589-10b3-1134261c2e4d,X.none,medium,agentic AI operating system infrastructure
053ce3ac-8228-69af-aa99-11a7523f28ce,2.2,high,architecture replacing RLHF for alignment
05799abe-64d6-8b6b-8d5f-aa90edb4a504,X.research-interp,high,token-level interpretability of reasoning trajectories
06007741-0cc4-ffa6-22ea-096de920342d,1.2,medium,AGI preparedness framework and decision tools for policymakers
06125ba2-4ce6-7a1f-2e70-e2b7847d0083,X.research-interp,high,formally verified theorems about transformer internals
069a1e9f-9aa8-6fc0-bfd6-77fae8b2715a,1.2,high,AI risk management standards and ratings
06b3af2d-52d3-4340-04b6-9bb8f69f40f4,X.research-theory,low,cybernetic model of human cognition
06ea0d78-c04a-f094-0246-5985729a275c,X.forecasting,medium,cyber capability time horizons research group
071580c8-e3c8-0610-9e08-775ecd7de7dd,X.research-interp,medium,sparse autoencoder interpretability paper presentation
0761da8a-9737-a53c-96d1-9957718a770b,X.talent-community,high,graduate student association for safe AI
07c0e73a-96e3-3235-7cbd-99265cbd99a7,X.talent-community,high,travel to biosecurity and AI safety workshop
0826256b-b18f-7764-c1cc-30d07920112f,X.advocacy-comms,high,organising public campaign for AI moratorium
083ec0b0-dbe7-4860-0a5a-3a481fb836b5,X.research-empirical,medium,weight manifold normalization and Lipschitz networks
08df038e-ec1b-0fda-3265-4a2c9d2a45db,3.1,medium,behavioural instrument measuring machine agency
09a4e31f-c705-b1c8-dbe0-360f88544e9e,X.advocacy-comms,medium,parent AI literacy outreach
0a8d675a-7d36-e424-68fa-5b777d55e5ad,X.research-theory,medium,conceptual threat model critiquing interpretability assumptions
0a90cc17-3212-0fca-59e7-fe550fb2bc54,2.3,medium,deterministic engine blocks harmful robot actions
0afa071e-a754-f66f-672b-46a34bd4ed18,X.research-interp,high,automated circuit discovery in transformers
0b37cc54-8ea5-633c-0730-a48e1394b720,2.3,high,unlearning hazardous CBRN and cyber knowledge
0b7c91af-717c-2152-23cf-62eb6723ca97,2.3,medium,critiquing unlearning and knowledge editing safety methods
0b9f44f3-a373-7841-a156-4d9d746c486c,X.none,medium,LLM memory capability work not safety
0bc440e2-b0f3-0dfc-0840-2b90d29ba33e,X.research-empirical,medium,empirical study of generalization versus memorization
0bdd0ba3-2a14-8a92-ba49-df3a238ce4cf,4.1,medium,standardised AI nutrition labels and registry
0c839de8-754f-ca76-800c-b6afbe71c92e,X.none,medium,vague wisdom layer proposal
0d732dba-68e8-73e9-d397-19d076358cbf,X.research-empirical,medium,tools automating alignment research
0df9e00c-36ad-c1dc-c0e8-36e3345b4c7c,2.3,medium,runtime entropy gate blocking bad early exits
0ebe71e9-6f8a-84bc-5f43-0d3df8408d39,X.research-empirical,medium,curiosity-driven constrained agents studied on ARC-AGI-3
