grantee,dimension,label,share,source_url,source_year,basis,confidence,note
"80,000 Hours",method,,,https://80000hours.org/problem-profiles/,2026,no public programme composition found,none,Reviewed career guide and problem-profile index; neither allocates work across topics
"80,000 Hours",risk,,,https://80000hours.org/problem-profiles/,2026,no public programme composition found,none,Reviewed career guide and problem-profile index; neither allocates work across topics
Arcadia Impact,method,X.research-empirical,0.2,https://www.arcadiaimpact.org/,2026,five named activities counted equally,low,Arcadia Alignment research team
Arcadia Impact,method,X.talent-community,0.8,https://www.arcadiaimpact.org/,2026,five named activities counted equally,low,Four training and career activities
Arcadia Impact,risk,6.5,0.4,https://www.arcadiaimpact.org/,2026,five named activities counted equally,low,AI Governance Taskforce and Orion
Arcadia Impact,risk,7.1,0.4,https://www.arcadiaimpact.org/,2026,five named activities counted equally,low,LASR Labs and Arcadia Alignment
Arcadia Impact,risk,not_ai,0.2,https://www.arcadiaimpact.org/,2026,five named activities counted equally,low,Impact First general careers
BlueDot Impact,method,X.talent-community,1.0,https://blog.bluedot.org/p/running-versions-of-our-courses-2026,2026,four currently run courses,medium,All four programs are courses and community talent development
BlueDot Impact,risk,6.5,0.25,https://blog.bluedot.org/p/running-versions-of-our-courses-2026,2026,four currently run courses,low,Frontier AI Governance course is the governance course
BlueDot Impact,risk,7.1,0.25,https://blog.bluedot.org/p/running-versions-of-our-courses-2026,2026,four currently run courses,low,Technical AI Safety course is the technical-safety course
BlueDot Impact,risk,field,0.25,https://blog.bluedot.org/p/running-versions-of-our-courses-2026,2026,four currently run courses,low,AGI Strategy course is broad AI-risk orientation
BlueDot Impact,risk,not_ai,0.25,https://blog.bluedot.org/p/running-versions-of-our-courses-2026,2026,four currently run courses,low,Biosecurity course is outside the AI-risk taxonomy
Cambridge Boston Alignment Initiative,method,X.talent-community,1.0,https://www.cbai.ai/aixbiosecurity-fellowship-program,2026,two co-running research fellowship programs,medium,Fellowships provide mentorship; workshops; networking; and career support.
Cambridge Boston Alignment Initiative,risk,4.2,0.5,https://www.cbai.ai/aixbiosecurity-fellowship-program,2026,two co-running research fellowship programs,low,AIxBiosecurity fellowship covers AI-enabled biological risk.
Cambridge Boston Alignment Initiative,risk,7.1,0.5,https://www.cbai.ai/aixbiosecurity-fellowship-program,2026,two co-running research fellowship programs,low,The other named program is the AI Safety Research Fellowship.
