grant_id,primary,secondary,confidence,basis
001f91b1-5857-36cf-776c-4eb9969ad101,field,,high,AI policy fellowship pipeline
0132ab23-dee5-62fb-d976-8567f221f8ff,7.1,7.3,medium,benchmark of agents violating user payment intent
01393bd6-e8ce-ef97-4ae4-d36f1f765e25,6.4,,high,PauseAI advocacy for slowing frontier development
01675740-26b8-2fd0-9d3e-e20ff6d8c874,6.4,,medium,US-China AI competition and technological cold war
0189ee9f-0564-aab3-d3c6-7786d7fad680,7.4,,high,interpretability of implicit planning in LLMs
02c0ff18-78c5-b5f0-470a-af594378ab58,field,7.6,medium,multi-topic AI safety regranting programme
040e02bf-160e-00ae-40cd-b4bce9d93416,7.1,,low,runtime constitutional control layer for agents
046e4d57-861d-c589-10b3-1134261c2e4d,field,,low,agentic AI infrastructure; no clear subdomain
053ce3ac-8228-69af-aa99-11a7523f28ce,7.1,,medium,new alignment architecture replacing RLHF
05799abe-64d6-8b6b-8d5f-aa90edb4a504,7.4,,high,token-level interpretability of chain-of-thought reasoning
06007741-0cc4-ffa6-22ea-096de920342d,6.5,,high,AGI readiness framework for policymakers and AISIs
06125ba2-4ce6-7a1f-2e70-e2b7847d0083,7.4,,high,formally verified theoretical mechanistic interpretability
069a1e9f-9aa8-6fc0-bfd6-77fae8b2715a,6.5,7.2,high,AI risk management standards and developer ratings
06b3af2d-52d3-4340-04b6-9bb8f69f40f4,5.2,,medium,cybernetic model of human role in AI loop
06ea0d78-c04a-f094-0246-5985729a275c,7.2,,medium,cyber and control evaluations research group
071580c8-e3c8-0610-9e08-775ecd7de7dd,7.4,,high,mechanistic interpretability paper presentation; sparse autoencoders
0761da8a-9737-a53c-96d1-9957718a770b,field,,high,graduate student association for safe AI
07c0e73a-96e3-3235-7cbd-99265cbd99a7,field,,medium,travel for career exploration workshop
0826256b-b18f-7764-c1cc-30d07920112f,6.4,,high,organising for a frontier AI moratorium
083ec0b0-dbe7-4860-0a5a-3a481fb836b5,7.3,,medium,Lipschitz networks; normalisation and robustness
08df038e-ec1b-0fda-3265-4a2c9d2a45db,7.5,7.1,medium,measuring machine intent and moral status attribution
09a4e31f-c705-b1c8-dbe0-360f88544e9e,5.1,,medium,children forming dependencies on AI companions
0a8d675a-7d36-e424-68fa-5b777d55e5ad,7.4,7.1,medium,critiques mech-interp assumptions; new threat model
0a90cc17-3212-0fca-59e7-fe550fb2bc54,7.1,7.4,medium,deterministic engine blocking harmful robot actions
0afa071e-a754-f66f-672b-46a34bd4ed18,7.4,,high,automated circuit discovery; transformer interpretability
0b37cc54-8ea5-633c-0730-a48e1394b720,7.2,4.2,high,CBRN/cyber knowledge evals and unlearning
0b7c91af-717c-2152-23cf-62eb6723ca97,2.2,7.1,medium,jailbreak resistance and distributed harmful knowledge
0b9f44f3-a373-7841-a156-4d9d746c486c,not_ai,,medium,LLM memory capability work; no risk angle
0bc440e2-b0f3-0dfc-0840-2b90d29ba33e,7.2,,medium,quantifying generalisation to forecast model capability progress
0bdd0ba3-2a14-8a92-ba49-df3a238ce4cf,7.4,6.5,medium,AI nutrition labels for model transparency
0c839de8-754f-ca76-800c-b6afbe71c92e,7.1,,low,vague wisdom layer claiming safer AI
0d732dba-68e8-73e9-d397-19d076358cbf,7.1,,medium,automating and accelerating alignment research
0df9e00c-36ad-c1dc-c0e8-36e3345b4c7c,7.3,,medium,reliability of quantized model inference
0ebe71e9-6f8a-84bc-5f43-0d3df8408d39,7.1,,low,human-aligned curiosity-driven agents; failure modes
0eeb9a26-b2e0-012e-4a79-8816b44dc77b,7.1,,medium,runtime containment layer constraining model outputs
0f03639e-5af4-47d0-0c1d-b33fc6cf9d08,7.1,,medium,hardware containment of agentic AI
0fd8336c-526d-1d66-dd87-78c34e0c4836,7.1,,low,auditing frontier agents for logic escapes
0ff5b5de-8fa6-2f34-f3ab-002bb85ea8a3,not_ai,,low,capability startup; no genuine AI-risk focus
0ffebe51-d6c8-7f8a-da17-4d755fa6c1c2,not_ai,,medium,public health and existential risk paper
101e931a-8e67-3215-a439-3229ca4842e2,3.2,,medium,AI tooling for scientific epistemic infrastructure
10205e5c-fa1d-5d5d-e3c9-759352d1ee4e,7.1,,high,development of values in RL agents
104419cb-118c-381c-4c6c-2d87e43027f9,7.4,7.5,medium,testing whether model self-reports track computation
